global_idx,scenario_id,category,rep_idx,seed,n_taxa,length_nt,theta,rho,beta,alpha,is_recombinant,num_true_trees,num_true_bps,segregating_sites,informative_sites,rhiz_detected,rhiz_num_bps,rhiz_bps,rhiz_time_ms,phi_p_val,phi_detected,maxchi_p_val,maxchi_detected,nss_p_val,nss_detected,phi_suite_time_ms,three_p_val,three_detected,three_time_ms,total_time_ms
99,power_n10_th5_rho4,power,49,20844782,10,1000,5.0,4.0,0.0,inf,True,17,16,22,17,False,0,,5.57,1.0,False,0.231,False,1.0,False,19.23,1.0,False,25.14,61.67
100,power_n10_th5_rho16,power,0,20852701,10,1000,5.0,16.0,0.0,inf,True,37,36,7,3,False,0,,3.72,1.0,False,1.0,False,1.0,False,15.49,1.0,False,28.69,57.77
101,power_n10_th5_rho16,power,1,20860620,10,1000,5.0,16.0,0.0,inf,True,50,49,26,12,False,0,,6.25,0.0746,False,0.533,False,0.119,False,20.87,1.0,False,22.48,61.39
102,power_n10_th5_rho16,power,2,20868539,10,1000,5.0,16.0,0.0,inf,True,31,30,19,9,False,0,,6.25,0.0583,False,0.169,False,0.001,True,19.05,1.0,False,23.41,58.66
103,power_n10_th5_rho16,power,3,20876458,10,1000,5.0,16.0,0.0,inf,True,36,35,13,5,False,0,,3.95,1.0,False,0.344,False,1.0,False,17.62,1.0,False,27.83,59.89
104,power_n10_th5_rho16,power,4,20884377,10,1000,5.0,16.0,0.0,inf,True,31,30,11,6,False,0,,6.2,0.5,False,0.744,False,0.318,False,17.24,1.0,False,22.68,56.68
105,power_n10_th5_rho16,power,5,20892296,10,1000,5.0,16.0,0.0,inf,True,51,50,12,7,False,0,,6.07,0.588,False,0.347,False,0.055,False,16.18,1.0,False,23.81,56.29
106,power_n10_th5_rho16,power,6,20900215,10,1000,5.0,16.0,0.0,inf,True,40,39,16,13,False,0,,5.01,0.0266,True,0.18,False,0.003,True,17.63,1.0,False,26.18,58.63
107,power_n10_th5_rho16,power,7,20908134,10,1000,5.0,16.0,0.0,inf,True,37,36,11,5,False,0,,7.32,0.0633,False,0.753,False,0.2,False,17.68,1.0,False,26.08,61.46
108,power_n10_th5_rho16,power,8,20916053,10,1000,5.0,16.0,0.0,inf,True,31,30,11,4,False,0,,5.8,1.0,False,0.733,False,1.0,False,18.31,1.0,False,24.3,59.81
109,power_n10_th5_rho16,power,9,20923972,10,1000,5.0,16.0,0.0,inf,True,39,38,16,12,True,1,521,11.59,0.254,False,0.686,False,0.026,True,18.53,1.0,False,21.94,62.17
110,power_n10_th5_rho16,power,10,20931891,10,1000,5.0,16.0,0.0,inf,True,41,40,21,14,False,0,,6.11,0.0094,True,0.008,True,0.0,True,19.83,1.0,False,24.43,60.66
111,power_n10_th5_rho16,power,11,20939810,10,1000,5.0,16.0,0.0,inf,True,36,35,10,6,False,0,,3.34,0.5,False,0.918,False,0.091,False,15.73,1.0,False,22.18,51.2
112,power_n10_th5_rho16,power,12,20947729,10,1000,5.0,16.0,0.0,inf,True,38,37,11,8,False,0,,6.59,0.0243,True,0.235,False,0.016,True,17.12,1.0,False,21.94,55.95
113,power_n10_th5_rho16,power,13,20955648,10,1000,5.0,16.0,0.0,inf,True,30,29,9,3,False,0,,4.29,1.0,False,0.549,False,0.317,False,15.69,1.0,False,20.09,50.72
114,power_n10_th5_rho16,power,14,20963567,10,1000,5.0,16.0,0.0,inf,True,35,34,15,7,False,0,,7.57,0.01,True,0.648,False,0.04,True,18.25,1.0,False,24.55,60.1
115,power_n10_th5_rho16,power,15,20971486,10,1000,5.0,16.0,0.0,inf,True,23,22,6,3,False,0,,3.32,1.0,False,0.655,False,1.0,False,16.05,1.0,False,25.82,55.83
116,power_n10_th5_rho16,power,16,20979405,10,1000,5.0,16.0,0.0,inf,True,39,38,16,9,False,0,,6.45,0.0936,False,0.823,False,0.655,False,20.15,1.0,False,22.53,58.93
117,power_n10_th5_rho16,power,17,20987324,10,1000,5.0,16.0,0.0,inf,True,39,38,20,16,False,0,,6.25,0.000989,True,0.77,False,0.007,True,20.14,1.0,False,25.24,61.5
118,power_n10_th5_rho16,power,18,20995243,10,1000,5.0,16.0,0.0,inf,True,42,41,17,7,False,0,,6.52,0.0125,True,0.096,False,0.317,False,18.85,1.0,False,23.07,59.1
119,power_n10_th5_rho16,power,19,21003162,10,1000,5.0,16.0,0.0,inf,True,48,47,25,12,False,0,,5.68,0.437,False,0.168,False,0.325,False,22.17,1.0,False,24.9,63.62
120,power_n10_th5_rho16,power,20,21011081,10,1000,5.0,16.0,0.0,inf,True,30,29,14,10,False,0,,5.62,0.0122,True,0.205,False,0.029,True,17.34,1.0,False,23.87,57.22
121,power_n10_th5_rho16,power,21,21019000,10,1000,5.0,16.0,0.0,inf,True,42,41,18,16,False,0,,6.56,5.93e-08,True,0.062,False,0.0,True,20.3,1.0,False,22.56,58.83
122,power_n10_th5_rho16,power,22,21026919,10,1000,5.0,16.0,0.0,inf,True,46,45,9,5,False,0,,3.85,0.227,False,0.804,False,0.098,False,16.43,1.0,False,22.59,53.3
123,power_n10_th5_rho16,power,23,21034838,10,1000,5.0,16.0,0.0,inf,True,44,43,28,15,False,0,,5.82,0.176,False,0.179,False,0.451,False,21.93,1.0,False,27.09,65.39
124,power_n10_th5_rho16,power,24,21042757,10,1000,5.0,16.0,0.0,inf,True,22,21,10,6,False,0,,5.56,0.0569,False,0.797,False,0.367,False,17.01,1.0,False,26.9,59.13
125,power_n10_th5_rho16,power,25,21050676,10,1000,5.0,16.0,0.0,inf,True,47,46,26,20,True,1,321,10.81,0.000402,True,0.098,False,0.0,True,20.53,1.0,False,22.29,63.36
126,power_n10_th5_rho16,power,26,21058595,10,1000,5.0,16.0,0.0,inf,True,29,28,7,2,False,0,,4.8,1.0,False,1.0,False,1.0,False,16.68,1.0,False,21.03,53.51
127,power_n10_th5_rho16,power,27,21066514,10,1000,5.0,16.0,0.0,inf,True,38,37,21,14,False,0,,6.63,0.0641,False,0.152,False,0.01,True,19.36,1.0,False,29.55,65.84
128,power_n10_th5_rho16,power,28,21074433,10,1000,5.0,16.0,0.0,inf,True,24,23,12,7,False,0,,5.71,0.134,False,0.462,False,0.048,True,18.64,1.0,False,28.19,62.51
129,power_n10_th5_rho16,power,29,21082352,10,1000,5.0,16.0,0.0,inf,True,38,37,16,11,False,0,,5.34,0.0549,False,0.808,False,0.025,True,18.06,1.0,False,28.21,62.35
130,power_n10_th5_rho16,power,30,21090271,10,1000,5.0,16.0,0.0,inf,True,32,31,14,10,False,0,,6.68,0.62,False,0.36,False,0.365,False,17.98,1.0,False,23.19,57.01
131,power_n10_th5_rho16,power,31,21098190,10,1000,5.0,16.0,0.0,inf,True,32,31,10,8,False,0,,5.48,0.375,False,0.736,False,0.239,False,17.15,1.0,False,22.24,55.28
132,power_n10_th5_rho16,power,32,21106109,10,1000,5.0,16.0,0.0,inf,True,42,41,24,14,False,0,,5.6,0.208,False,0.473,False,0.223,False,20.32,1.0,False,24.09,59.61
133,power_n10_th5_rho16,power,33,21114028,10,1000,5.0,16.0,0.0,inf,True,34,33,18,13,False,0,,8.87,0.191,False,0.863,False,0.262,False,19.31,1.0,False,22.62,61.26
134,power_n10_th5_rho16,power,34,21121947,10,1000,5.0,16.0,0.0,inf,True,34,33,12,7,False,0,,6.07,1.0,False,0.973,False,1.0,False,17.26,1.0,False,22.11,56.54
