genome_idx,true_bp_num,noise_lv,rh_ok,rh_pred_cand,m0,m1,m2,delta_1,delta_2,pred_bp_num,is_recombinant_true,is_recombinant_pred,correct_model,pred_bp1,ci1_left,ci1_right,pred_bp2,ci2_left,ci2_right,bp1_in_interval,bp2_in_interval,both_in_interval,spatial_err_bp1,spatial_err_bp2,mean_spatial_err_nt,runtime_ms
121,1,0,True,BA.2 + AY.45,76,84,83,8,-1,1,True,True,True,28384.0,28310.0,28459.0,,,,True,False,False,0.0,,0.0,2.01
122,1,0,True,BA.2 + AY.45,60,84,83,24,-1,1,True,True,True,25820.0,25583.0,26058.0,,,,True,False,False,0.0,,0.0,2.03
123,1,0,True,BA.2 + AY.45,18,84,83,66,-1,1,True,True,True,11265.0,11200.0,11330.0,,,,True,False,False,0.0,,0.0,2.0
124,1,0,True,BA.2 + AY.45,64,84,83,20,-1,1,True,True,True,26736.0,26708.0,26765.0,,,,True,False,False,0.0,,0.0,2.02
125,1,0,True,BA.2 + AY.45,30,84,83,54,-1,1,True,True,True,21801.0,21617.0,21985.0,,,,True,False,False,0.0,,0.0,1.96
126,1,0,True,BA.2 + AY.45,14,84,83,70,-1,1,True,True,True,10030.0,9865.0,10196.0,,,,True,False,False,0.0,,0.0,1.96
127,1,0,True,BA.2 + AY.45,10,84,83,74,-1,1,True,True,True,9197.0,9052.0,9342.0,,,,True,False,False,0.0,,0.0,2.0
128,1,0,True,BA.2 + AY.45,34,84,83,50,-1,1,True,True,True,22675.0,22673.0,22677.0,,,,True,False,False,0.0,,0.0,1.99
129,1,0,True,BA.2 + AY.45,61,84,83,23,-1,1,True,True,True,26164.0,26059.0,26268.0,,,,True,False,False,0.0,,0.0,2.02
130,1,0,True,BA.2 + AY.45,31,84,83,53,-1,1,True,True,True,22092.0,21986.0,22198.0,,,,True,False,False,0.0,,0.0,1.97
131,1,0,True,BA.2 + AY.45,71,84,83,13,-1,1,True,True,True,27694.0,27637.0,27750.0,,,,True,False,False,0.0,,0.0,2.0
132,1,0,True,BA.2 + AY.45,57,84,83,27,-1,1,True,True,True,25205.0,24999.0,25411.0,,,,True,False,False,0.0,,0.0,2.01
133,1,0,True,BA.2 + AY.45,12,84,83,72,-1,1,True,True,True,9478.0,9423.0,9532.0,,,,True,False,False,0.0,,0.0,2.0
134,1,0,True,BA.2 + AY.45,9,84,83,75,-1,1,True,True,True,9018.0,8985.0,9051.0,,,,True,False,False,0.0,,0.0,2.02
135,1,0,True,BA.2 + AY.45,21,84,83,63,-1,1,True,True,True,14630.0,13811.0,15449.0,,,,True,False,False,0.0,,0.0,1.96
136,1,0,True,BA.2 + AY.45,25,84,83,59,-1,1,True,True,True,17785.0,17409.0,18161.0,,,,True,False,False,0.0,,0.0,1.99
137,1,0,True,BA.2 + AY.45,58,84,83,26,-1,1,True,True,True,25440.0,25412.0,25467.0,,,,True,False,False,0.0,,0.0,2.01
138,1,0,True,BA.2 + AY.45,76,84,83,8,-1,1,True,True,True,28384.0,28310.0,28459.0,,,,True,False,False,0.0,,0.0,2.08
139,1,0,True,BA.2 + AY.45,27,84,83,57,-1,1,True,True,True,19586.0,19219.0,19953.0,,,,True,False,False,0.0,,0.0,2.02
140,1,0,True,BA.2 + AY.45,7,84,83,77,-1,1,True,True,True,6762.0,6401.0,7122.0,,,,True,False,False,0.0,,0.0,1.98
141,1,0,True,BA.2 + AY.45,55,84,83,29,-1,1,True,True,True,24445.0,24423.0,24467.0,,,,True,False,False,0.0,,0.0,2.03
142,1,0,True,BA.2 + AY.45,74,84,83,10,-1,1,True,True,True,28071.0,27873.0,28269.0,,,,True,False,False,0.0,,0.0,2.2
143,1,0,True,BA.2 + AY.45,6,84,83,78,-1,1,True,True,True,5400.0,4401.0,6400.0,,,,True,False,False,0.0,,0.0,2.02
144,1,0,True,BA.2 + AY.45,48,84,83,36,-1,1,True,True,True,23298.0,23074.0,23523.0,,,,True,False,False,0.0,,0.0,2.0
145,1,0,True,BA.2 + AY.45,60,84,83,24,-1,1,True,True,True,25820.0,25583.0,26058.0,,,,True,False,False,0.0,,0.0,2.03
146,1,0,True,BA.2 + AY.45,76,84,83,8,-1,1,True,True,True,28384.0,28310.0,28459.0,,,,True,False,False,0.0,,0.0,2.03
147,1,0,True,BA.2 + AY.45,30,84,83,54,-1,1,True,True,True,21801.0,21617.0,21985.0,,,,True,False,False,0.0,,0.0,1.98
148,1,0,True,BA.2 + AY.45,33,84,83,51,-1,1,True,True,True,22624.0,22577.0,22672.0,,,,True,False,False,0.0,,0.0,2.03
149,1,0,True,BA.2 + AY.45,55,84,83,29,-1,1,True,True,True,24445.0,24423.0,24467.0,,,,True,False,False,0.0,,0.0,2.14
150,1,0,True,BA.2 + AY.45,73,84,83,11,-1,1,True,True,True,27839.0,27806.0,27872.0,,,,True,False,False,0.0,,0.0,2.03
151,1,0,True,BA.2 + AY.45,12,84,83,72,-1,1,True,True,True,9478.0,9423.0,9532.0,,,,True,False,False,0.0,,0.0,1.97
152,1,0,True,BA.2 + AY.45,7,84,83,77,-1,1,True,True,True,6762.0,6401.0,7122.0,,,,True,False,False,0.0,,0.0,1.97
